 P1(4): d+c+b+a
 P7122(8): b*!c*!d+!a*!c*!d+b*c*d+!a*b*d+a*!b*c
 P7123(8): b*!c*!d+b*c*d+!a*b*d+a*!b*c
 P7126(8): !a*!b*!c*!d+a*b*!c*!d+b*c*d+!a*b*d+a*!b*c
 P7127(8): a*b*!c*!d+b*c*d+!a*b*d+a*!b*c
 P7128(8): !b*!c*!d+b*c*d+!a*b*!c+a*!b*c
 P7129(8): a*!b*!d+b*c*d+a*c*d+!a*b*!c
 P7130(8): !a*!c*!d+b*c*d+!a*b*d+a*!b*c
 P7131(7): b*c*d+!a*b*!c+a*!b*c
 P7134(8): !a*!b*!c*!d+b*c*d+!a*b*d+a*!b*c
 P7135(6): b*c*d+!a*b*d+a*!b*c
 P7136(8): !a*!b*!d+a*c*d+!a*b*d+!c*!d
 P7137(8): !a*!b*c*!d+a*!c*!d+b*c*d+a*c*d+!a*b*!c
 P7138(8): b*!c*!d+!a*!b*!d+a*c*d+!a*b*d
 P7139(8): !a*!b*c*!d+b*!c*!d+a*c*d+!a*b*d
 P7140(8): a*!c*!d+!a*!b*!d+a*c*d+!a*b*d
 P7141(8): !a*!b*c*!d+a*!c*!d+a*c*d+!a*b*d
 P7142(8): a*b*!c*!d+!a*!b*!d+a*c*d+!a*b*d
 P7143(8): a*b*!c*!d+!a*!b*c*!d+a*c*d+!a*b*d
 P7144(8): !b*!c*!d+!a*!b*!d+b*c*d+a*c*d+!a*b*!c
 P7145(8): a*!b*!c*!d+!a*!b*c*!d+b*c*d+a*c*d+!a*b*!c
 P7146(8): !a*!c*!d+!a*!b*!d+a*c*d+!a*b*d
 P7147(8): !a*!b*c*!d+b*c*d+a*c*d+!a*b*!c
 P7148(8): !b*!c*!d+!a*!b*!d+a*c*d+!a*b*d
 P7149(8): a*!b*!c*!d+!a*!b*c*!d+a*c*d+!a*b*d
 P7150(7): !a*!b*!d+a*c*d+!a*b*d
 P7151(7): !a*!b*c*!d+a*c*d+!a*b*d
 P7152(7): a*c*d+!a*b*d+!c*!d
 P7153(7): a*!c*!d+b*c*d+a*c*d+!a*b*!c
 P7154(7): b*!c*!d+!a*!c*!d+a*c*d+!a*b*d
 P7155(7): b*!c*!d+a*c*d+!a*b*d
 P7156(8): !b*!c*!d+a*!c*!d+a*c*d+!a*b*d
 P7157(7): a*!c*!d+a*c*d+!a*b*d
 P7158(8): !a*!b*!c*!d+a*b*!c*!d+a*c*d+!a*b*d
 P7159(7): a*b*!c*!d+a*c*d+!a*b*d
 P7160(8): !b*!c*!d+b*c*d+a*c*d+!a*b*!c
 P7161(8): a*!b*!c*!d+b*c*d+a*c*d+!a*b*!c
 P7162(7): !a*!c*!d+a*c*d+!a*b*d
 P7163(6): b*c*d+a*c*d+!a*b*!c
 P7164(8): !b*!c*!d+a*c*d+!a*b*d
 P7165(8): a*!b*!c*!d+a*c*d+!a*b*d
 P7166(8): !a*!b*!c*!d+a*c*d+!a*b*d
 P7167(5): a*c*d+!a*b*d
 P7904(8): !a*!b*!d+b*c*d+a*c*d+!a*!b*!c+!c*!d
 P7905(8): !a*!b*c*!d+!a*!b*!c*d+b*!c*!d+a*!c*!d+b*c*d+a*c*d
 P7906(8): b*!c*!d+!a*!b*!d+b*c*d+a*c*d+!a*!b*!c
 P7907(8): !a*!b*c*!d+!a*!b*!c*d+b*!c*!d+b*c*d+a*c*d
 P7910(8): a*b*!c*!d+!a*!b*!d+b*c*d+a*c*d+!a*!b*!c
 P7911(8): a*b*!c*!d+!a*!b*c*!d+!a*!b*!c*d+b*c*d+a*c*d
 P7912(8): !b*!c*!d+!a*!c*!d+!a*!b*!d+b*c*d+a*c*d+!a*!b*!c
 P7913(8): a*!b*!c*!d+!a*b*!c*!d+!a*!b*c*!d+!a*!b*!c*d+b*c*d+a*c*d
 P7914(8): !a*!c*!d+!a*!b*!d+b*c*d+a*c*d+!a*!b*!c
 P7915(8): !a*b*!c*!d+!a*!b*c*!d+!a*!b*!c*d+b*c*d+a*c*d
 P7918(8): !a*!b*!d+b*c*d+a*c*d+!a*!b*!c
 P7919(8): !a*!b*c*!d+!a*!b*!c*d+b*c*d+a*c*d
 P7920(8): b*c*d+a*c*d+!a*!b*!c+!c*!d
 P7921(8): !a*!b*!c*d+b*!c*!d+a*!c*!d+b*c*d+a*c*d
 P7922(8): b*!c*!d+b*c*d+a*c*d+!a*!b*!c
 P7923(8): !a*!b*!c*d+b*!c*!d+b*c*d+a*c*d
 P7926(8): a*b*!c*!d+b*c*d+a*c*d+!a*!b*!c
 P7927(8): a*b*!c*!d+!a*!b*!c*d+b*c*d+a*c*d
 P7928(8): !b*!c*!d+!a*!c*!d+b*c*d+a*c*d+!a*!b*!c
 P7929(8): a*!b*!c*!d+!a*b*!c*!d+!a*!b*!c*d+b*c*d+a*c*d
 P7930(8): !a*!c*!d+b*c*d+a*c*d+!a*!b*!c
 P7931(8): !a*b*!c*!d+!a*!b*!c*d+b*c*d+a*c*d
 P7934(7): b*c*d+a*c*d+!a*!b*!c
 P7935(7): !a*!b*!c*d+b*c*d+a*c*d
 P8176(6): b*c*d+a*c*d+!c*!d
 P8177(6): b*!c*!d+a*!c*!d+b*c*d+a*c*d
 P8178(7): b*!c*!d+!a*!c*!d+b*c*d+a*c*d
 P8179(6): b*!c*!d+b*c*d+a*c*d
 P8182(8): !a*!b*!c*!d+a*b*!c*!d+b*c*d+a*c*d
 P8183(6): a*b*!c*!d+b*c*d+a*c*d
 P8184(8): !b*!c*!d+!a*!c*!d+b*c*d+a*c*d
 P8185(8): a*!b*!c*!d+!a*b*!c*!d+b*c*d+a*c*d
 P8186(7): !a*!c*!d+b*c*d+a*c*d
 P8187(7): !a*b*!c*!d+b*c*d+a*c*d
 P8190(8): !a*!b*!c*!d+b*c*d+a*c*d
 P8191(4): b*c*d+a*c*d
 P10368(7): b*c*d+!c*!d+!b*!d+!b*!c+!a
 P10369(8): a*!c*!d+!b*c*!d+!b*!c*d+b*c*d+!a*d+!a*b
 P10370(7): b*!c*!d+!b*c*!d+!b*!c*d+b*c*d+!a
 P10371(7): b*!c*!d+!b*c*!d+!b*!c*d+b*c*d+!a*d+!a*b
 P10372(8): a*!c*!d+b*c*d+!b*!d+!a*d+!b*!c+!a*c
 P10373(8): a*!c*!d+!b*c*!d+!b*!c*d+b*c*d+!a*d+!a*c
 P10374(8): a*b*!c*!d+!b*c*!d+!b*!c*d+b*c*d+!a*d+!a*c+!a*!b
 P10375(8): a*b*!c*!d+!b*c*!d+!b*!c*d+b*c*d+!a*d+!a*c
 P10376(7): b*c*d+!b*!d+!b*!c+!a
 P10377(8): a*!b*!d+!b*!c*d+b*c*d+!a*c+!a*b
 P10378(7): !b*c*!d+!b*!c*d+b*c*d+!a
 P10379(7): !b*c*!d+!b*!c*d+b*c*d+!a*d+!a*b
 P10380(7): b*c*d+!b*!d+!a*d+!b*!c+!a*c
 P10381(8): a*!b*!d+!b*!c*d+b*c*d+!a*d+!a*c
 P10382(7): !b*c*!d+!b*!c*d+b*c*d+!a*d+!a*c+!a*!b
 P10383(7): !b*c*!d+!b*!c*d+b*c*d+!a*d+!a*c
 P10388(8): a*!c*!d+a*!b*!d+b*c*d+!a*b*c+!a*d+!b*!c
 P10389(8): a*!c*!d+a*!b*!d+!b*!c*d+b*c*d+!a*b*c+!a*d
 P10390(8): a*b*!c*!d+a*!b*c*!d+!b*!c*d+b*c*d+!a*!b*!c+!a*b*c+!a*d
 P10391(8): a*b*!c*!d+a*!b*c*!d+!b*!c*d+b*c*d+!a*b*c+!a*d
 P10392(8): a*!b*!d+b*c*d+!a*d+!b*!c+!a*b
 P10393(8): a*!b*!d+!b*!c*d+b*c*d+!a*d+!a*b
 P10394(8): a*!b*c*!d+!b*!c*d+b*c*d+!a*d+!a*!c+!a*b
 P10395(8): a*!b*c*!d+!b*!c*d+b*c*d+!a*d+!a*b
 P10396(8): a*!b*!d+b*c*d+!a*b*c+!a*d+!b*!c
 P10397(8): a*!b*!d+!b*!c*d+b*c*d+!a*b*c+!a*d
 P10398(8): a*!b*c*!d+!b*!c*d+b*c*d+!a*!b*!c+!a*b*c+!a*d
 P10399(8): a*!b*c*!d+!b*!c*d+b*c*d+!a*b*c+!a*d
 P10408(6): b*c*d+!b*!c+!a
 P10409(7): b*c*d+a*!b*!c+!a*d+!a*c+!a*b
 P10410(6): !b*!c*d+b*c*d+!a
 P10411(6): !b*!c*d+b*c*d+!a*c+!a*b
 P10412(6): b*c*d+!a*d+!b*!c+!a*c
 P10413(7): b*c*d+a*!b*!c+!a*d+!a*c
 P10414(6): !b*!c*d+b*c*d+!a*d+!a*c+!a*!b
 P10415(6): !b*!c*d+b*c*d+!a*d+!a*c
 P10428(6): b*c*d+!a*b*c+!a*d+!b*!c
 P10429(7): b*c*d+a*!b*!c+!a*b*c+!a*d
 P10430(6): !b*!c*d+b*c*d+!a*!b*!c+!a*b*c+!a*d
 P10431(6): !b*!c*d+b*c*d+!a*b*c+!a*d
 P10432(7): b*c*d+!c*!d+!b*!d+!a*d+!b*!c
 P10433(8): a*!c*!d+!b*c*!d+!b*!c*d+b*c*d+!a*b*!c+!a*d
 P10434(7): b*!c*!d+!b*c*!d+!b*!c*d+b*c*d+!a*d+!a*!c
 P10435(7): b*!c*!d+!b*c*!d+!b*!c*d+b*c*d+!a*d
 P10436(8): a*!c*!d+b*c*d+!b*!d+!a*d+!b*!c
 P10437(8): a*!c*!d+!b*c*!d+!b*!c*d+b*c*d+!a*d
 P10438(8): a*b*!c*!d+!b*c*!d+!b*!c*d+b*c*d+!a*d+!a*!b
 P10439(8): a*b*!c*!d+!b*c*!d+!b*!c*d+b*c*d+!a*d
 P10440(7): b*c*d+!b*!d+!a*d+!b*!c+!a*!c
 P10441(8): a*!b*!d+!b*!c*d+b*c*d+!a*b*!c+!a*!b*c
 P10442(7): !b*c*!d+!b*!c*d+b*c*d+!a*d+!a*!c
 P10443(7): !b*c*!d+!b*!c*d+b*c*d+!a*b*!c+!a*d
 P10444(7): b*c*d+!b*!d+!a*d+!b*!c
 P10445(8): !b*c*!d+a*!b*!d+!b*!c*d+b*c*d+!a*d
 P10446(7): !b*c*!d+!b*!c*d+b*c*d+!a*d+!a*!b
 P10447(7): !b*c*!d+!b*!c*d+b*c*d+!a*d
 P10452(8): a*!c*!d+a*!b*!d+b*c*d+!a*d+!b*!c
 P10453(8): a*!c*!d+a*!b*!d+!b*!c*d+b*c*d+!a*d
 P10454(8): a*b*!c*!d+a*!b*c*!d+!b*!c*d+b*c*d+!a*!b*!c+!a*d
 P10455(8): a*b*!c*!d+a*!b*c*!d+!b*!c*d+b*c*d+!a*d
 P10456(8): a*!b*!d+b*c*d+!a*d+!b*!c+!a*!c
 P10457(8): a*!b*!d+!b*!c*d+b*c*d+!a*b*!c+!a*d
 P10458(8): a*!b*c*!d+!b*!c*d+b*c*d+!a*d+!a*!c
 P10459(8): a*!b*c*!d+!b*!c*d+b*c*d+!a*b*!c+!a*d
 P10460(8): a*!b*!d+b*c*d+!a*d+!b*!c
 P10461(8): a*!b*!d+!b*!c*d+b*c*d+!a*d
 P10462(8): a*!b*c*!d+!b*!c*d+b*c*d+!a*!b*!c+!a*d
 P10463(8): a*!b*c*!d+!b*!c*d+b*c*d+!a*d
 P10472(6): b*c*d+!b*!c+!a*!c+!a*!b
 P10473(7): b*c*d+a*!b*!c+!a*b*!c+!a*!b*c+!a*d
 P10474(6): !b*!c*d+b*c*d+!a*!c+!a*!b
 P10475(6): !b*!c*d+b*c*d+!a*b*!c+!a*!b*c
 P10476(6): b*c*d+!a*d+!b*!c+!a*!b
 P10477(7): b*c*d+a*!b*!c+!a*!b*c+!a*d
 P10478(6): !b*!c*d+b*c*d+!a*d+!a*!b
 P10479(6): !b*!c*d+b*c*d+!a*!b*c+!a*d
 P10492(6): b*c*d+!a*d+!b*!c
 P10493(7): b*c*d+a*!b*!c+!a*d
 P10494(6): !b*!c*d+b*c*d+!a*!b*!c+!a*d
 P10495(6): !b*!c*d+b*c*d+!a*d
 P10644(8): !b*!c*!d+a*!c*!d+a*!b*!d+b*c*d+!a*c*d+!a*b*d+a*!b*!c+!a*b*c
 P10645(8): a*!c*!d+a*!b*!d+b*c*d+!a*c*d+!a*b*d+a*!b*!c+!a*b*c
 P10646(8): !a*!b*!c*!d+a*b*!c*!d+a*!b*c*!d+a*!b*!c*d+b*c*d+!a*c*d+!a*b*d+!a*b*c
 P10647(8): a*b*!c*!d+a*!b*c*!d+a*!b*!c*d+b*c*d+!a*c*d+!a*b*d+!a*b*c
 P10648(8): !a*!c*!d+a*!b*!d+b*c*d+!a*c*d+a*!b*!c+!a*b
 P10649(8): a*!b*!d+b*c*d+!a*c*d+a*!b*!c+!a*b
 P10650(8): a*!b*c*!d+a*!b*!c*d+!a*!c*!d+b*c*d+!a*c*d+!a*b
 P10651(8): a*!b*c*!d+a*!b*!c*d+b*c*d+!a*c*d+!a*b
 P10652(8): !b*!c*!d+a*!b*!d+b*c*d+!a*c*d+!a*b*d+a*!b*!c+!a*b*c
 P10653(8): a*!b*!d+b*c*d+!a*c*d+!a*b*d+a*!b*!c+!a*b*c
 P10654(8): !a*!b*!c*!d+a*!b*c*!d+a*!b*!c*d+b*c*d+!a*c*d+!a*b*d+!a*b*c
 P10655(8): a*!b*c*!d+a*!b*!c*d+b*c*d+!a*c*d+!a*b*d+!a*b*c
 P10664(8): b*c*d+a*!b*!c+!a*!d+!a*c+!a*b
 P10665(7): b*c*d+a*!b*!c+!a*c+!a*b
 P10666(8): a*!b*!c*d+b*c*d+!a*!d+!a*c+!a*b
 P10667(7): a*!b*!c*d+b*c*d+!a*c+!a*b
 P10668(8): !a*!b*!d+b*c*d+!a*b*d+a*!b*!c+!a*c
 P10669(7): b*c*d+!a*b*d+a*!b*!c+!a*c
 P10670(8): a*!b*!c*d+!a*!b*!d+b*c*d+!a*b*d+!a*c
 P10671(7): a*!b*!c*d+b*c*d+!a*b*d+!a*c
 P10684(8): !b*!c*!d+b*c*d+!a*c*d+!a*b*d+a*!b*!c+!a*b*c
 P10685(7): b*c*d+!a*c*d+!a*b*d+a*!b*!c+!a*b*c
 P10686(8): !a*!b*!c*!d+a*!b*!c*d+b*c*d+!a*c*d+!a*b*d+!a*b*c
 P10687(7): a*!b*!c*d+b*c*d+!a*c*d+!a*b*d+!a*b*c
 P10688(8): b*c*d+!a*c*d+!a*b*d+a*!b*!c+!c*!d+!b*!d
 P10689(8): a*!c*!d+!b*c*!d+b*c*d+!a*c*d+a*!b*!c+!a*b*!c
 P10690(8): a*!b*!c*d+b*!c*!d+!a*!c*!d+!b*c*!d+b*c*d+!a*c*d+!a*b*d
 P10691(8): a*!b*!c*d+b*!c*!d+!b*c*!d+b*c*d+!a*c*d+!a*b*d
 P10692(8): a*!c*!d+b*c*d+!a*c*d+!a*b*d+a*!b*!c+!b*!d
 P10693(8): a*!c*!d+!b*c*!d+b*c*d+!a*c*d+!a*b*d+a*!b*!c
 P10694(8): a*b*!c*!d+a*!b*!c*d+!b*c*!d+!a*!b*!d+b*c*d+!a*c*d+!a*b*d
 P10695(8): a*b*!c*!d+a*!b*!c*d+!b*c*!d+b*c*d+!a*c*d+!a*b*d
 P10696(8): b*c*d+!a*c*d+a*!b*!c+!a*b*!c+!b*!d
 P10697(8): a*!b*!d+b*c*d+a*!b*!c+!a*b*!c+!a*!b*c
 P10698(8): a*!b*!c*d+!a*!c*!d+!b*c*!d+b*c*d+!a*c*d+!a*b*d
 P10699(8): a*!b*!c*d+!b*c*!d+b*c*d+!a*c*d+!a*b*!c
 P10700(8): b*c*d+!a*c*d+!a*b*d+a*!b*!c+!b*!d
 P10701(8): a*!b*!d+b*c*d+!a*b*d+a*!b*!c+!a*!b*c
 P10702(8): a*!b*!c*d+!b*c*!d+!a*!b*!d+b*c*d+!a*c*d+!a*b*d
 P10703(8): a*!b*!c*d+!b*c*!d+b*c*d+!a*c*d+!a*b*d
 P10708(8): !b*!c*!d+a*!c*!d+a*!b*!d+b*c*d+!a*c*d+!a*b*d+a*!b*!c
 P10709(8): a*!c*!d+a*!b*!d+b*c*d+!a*c*d+!a*b*d+a*!b*!c
 P10710(8): !a*!b*!c*!d+a*b*!c*!d+a*!b*c*!d+a*!b*!c*d+b*c*d+!a*c*d+!a*b*d
 P10711(8): a*b*!c*!d+a*!b*c*!d+a*!b*!c*d+b*c*d+!a*c*d+!a*b*d
 P10712(8): !a*!c*!d+a*!b*!d+b*c*d+!a*c*d+!a*b*d+a*!b*!c
 P10713(8): a*!b*!d+b*c*d+!a*c*d+a*!b*!c+!a*b*!c
 P10714(8): a*!b*c*!d+a*!b*!c*d+!a*!c*!d+b*c*d+!a*c*d+!a*b*d
 P10715(8): a*!b*c*!d+a*!b*!c*d+b*c*d+!a*c*d+!a*b*!c
 P10716(8): !b*!c*!d+a*!b*!d+b*c*d+!a*c*d+!a*b*d+a*!b*!c
 P10717(8): a*!b*!d+b*c*d+!a*c*d+!a*b*d+a*!b*!c
 P10718(8): !a*!b*!c*!d+a*!b*c*!d+a*!b*!c*d+b*c*d+!a*c*d+!a*b*d
 P10719(8): a*!b*c*!d+a*!b*!c*d+b*c*d+!a*c*d+!a*b*d
 P10728(8): !a*!c*!d+b*c*d+!a*b*d+a*!b*!c+!a*!b*c
 P10729(7): b*c*d+a*!b*!c+!a*b*!c+!a*!b*c
 P10730(8): a*!b*!c*d+!a*!c*!d+b*c*d+!a*b*d+!a*!b*c
 P10731(7): a*!b*!c*d+b*c*d+!a*b*!c+!a*!b*c
 P10732(8): !b*!c*!d+b*c*d+!a*b*d+a*!b*!c+!a*!b*c
 P10733(7): b*c*d+!a*b*d+a*!b*!c+!a*!b*c
 P10734(8): a*!b*!c*d+!a*!b*!d+b*c*d+!a*c*d+!a*b*d
 P10735(7): a*!b*!c*d+b*c*d+!a*b*d+!a*!b*c
 P10748(8): !b*!c*!d+b*c*d+!a*c*d+!a*b*d+a*!b*!c
 P10749(7): b*c*d+!a*c*d+!a*b*d+a*!b*!c
 P10750(8): !a*!b*!c*!d+a*!b*!c*d+b*c*d+!a*c*d+!a*b*d
 P10751(7): a*!b*!c*d+b*c*d+!a*c*d+!a*b*d
 P10920(7): !b*!c*!d+b*c*d+!a
 P10921(8): a*!b*!c*!d+b*c*d+!a*d+!a*c+!a*b
 P10922(4): b*c*d+!a
 P10923(4): b*c*d+!a*d+!a*c+!a*b
 P10924(7): !b*!c*!d+b*c*d+!a*d+!a*c
 P10925(8): a*!b*!c*!d+b*c*d+!a*d+!a*c
 P10926(5): b*c*d+!a*d+!a*c+!a*!b
 P10927(4): b*c*d+!a*d+!a*c
 P10940(7): !b*!c*!d+b*c*d+!a*b*c+!a*d
 P10941(8): a*!b*!c*!d+b*c*d+!a*b*c+!a*d
 P10942(6): b*c*d+!a*!b*!c+!a*b*c+!a*d
 P10943(4): b*c*d+!a*b*c+!a*d
 P10944(7): b*c*d+!c*!d+!b*!d+!a*d
 P10945(8): a*!c*!d+!b*c*!d+b*c*d+!a*b*!c+!a*d
 P10946(7): b*!c*!d+!b*c*!d+b*c*d+!a*d+!a*!c
 P10947(7): b*!c*!d+!b*c*!d+b*c*d+!a*d
 P10948(8): a*!c*!d+b*c*d+!b*!d+!a*d
 P10949(8): a*!c*!d+!b*c*!d+b*c*d+!a*d
 P10950(8): a*b*!c*!d+!b*c*!d+b*c*d+!a*d+!a*!b
 P10951(8): a*b*!c*!d+!b*c*!d+b*c*d+!a*d
 P10952(7): b*c*d+!b*!d+!a*d+!a*!c
 P10953(8): a*!b*!d+b*c*d+!a*b*!c+!a*!b*c+!a*d
 P10954(7): !b*c*!d+b*c*d+!a*d+!a*!c
 P10955(7): !b*c*!d+b*c*d+!a*b*!c+!a*d
 P10956(6): b*c*d+!b*!d+!a*d
 P10957(7): !b*c*!d+a*!b*!d+b*c*d+!a*d
 P10958(6): !b*c*!d+b*c*d+!a*d+!a*!b
 P10959(6): !b*c*!d+b*c*d+!a*d
 P10964(8): a*!c*!d+a*!b*!d+b*c*d+!a*!b*!c+!a*d
 P10965(8): a*!c*!d+a*!b*!d+b*c*d+!a*d
 P10966(8): a*b*!c*!d+a*!b*c*!d+b*c*d+!a*!b*!c+!a*d
 P10967(8): a*b*!c*!d+a*!b*c*!d+b*c*d+!a*d
 P10968(8): a*!b*!d+b*c*d+!a*d+!a*!c
 P10969(8): a*!b*!d+b*c*d+!a*b*!c+!a*d
 P10970(8): a*!b*c*!d+b*c*d+!a*d+!a*!c
 P10971(8): a*!b*c*!d+b*c*d+!a*b*!c+!a*d
 P10972(8): a*!b*!d+b*c*d+!a*!b*!c+!a*d
 P10973(7): a*!b*!d+b*c*d+!a*d
 P10974(8): a*!b*c*!d+b*c*d+!a*!b*!c+!a*d
 P10975(7): a*!b*c*!d+b*c*d+!a*d
 P10984(7): !b*!c*!d+b*c*d+!a*!c+!a*!b
 P10985(8): a*!b*!c*!d+b*c*d+!a*b*!c+!a*!b*c+!a*d
 P10986(6): b*c*d+!a*!c+!a*!b
 P10987(6): b*c*d+!a*b*!c+!a*!b*c+!a*d
 P10988(7): !b*!c*!d+b*c*d+!a*d+!a*!b
 P10989(8): a*!b*!c*!d+b*c*d+!a*!b*c+!a*d
 P10990(5): b*c*d+!a*d+!a*!b
 P10991(5): b*c*d+!a*!b*c+!a*d
 P11004(7): !b*!c*!d+b*c*d+!a*d
 P11005(8): a*!b*!c*!d+b*c*d+!a*d
 P11006(6): b*c*d+!a*!b*!c+!a*d
 P11007(4): b*c*d+!a*d
 P11196(7): !b*!c*!d+b*c*d+!a*c*d+!a*b*d+!a*b*c
 P11197(8): a*!b*!c*!d+b*c*d+!a*c*d+!a*b*d+!a*b*c
 P11198(7): !a*!b*!c*!d+b*c*d+!a*c*d+!a*b*d+!a*b*c
 P11199(4): b*c*d+!a*c*d+!a*b*d+!a*b*c
 P11200(7): b*c*d+!a*c*d+!a*b*d+!c*!d+!b*!d
 P11201(8): a*!c*!d+!b*c*!d+b*c*d+!a*c*d+!a*b*!c
 P11202(7): b*!c*!d+!a*!c*!d+!b*c*!d+b*c*d+!a*c*d+!a*b*d
 P11203(7): b*!c*!d+!b*c*!d+b*c*d+!a*c*d+!a*b*d
 P11204(8): a*!c*!d+b*c*d+!a*c*d+!a*b*d+!b*!d
 P11205(8): a*!c*!d+!b*c*!d+b*c*d+!a*c*d+!a*b*d
 P11206(8): a*b*!c*!d+!b*c*!d+!a*!b*!d+b*c*d+!a*c*d+!a*b*d
 P11207(8): a*b*!c*!d+!b*c*!d+b*c*d+!a*c*d+!a*b*d
 P11208(7): b*c*d+!a*c*d+!a*b*!c+!b*!d
 P11209(8): a*!b*!d+b*c*d+!a*b*!c+!a*!b*c
 P11210(7): !a*!c*!d+!b*c*!d+b*c*d+!a*c*d+!a*b*d
 P11211(7): !b*c*!d+b*c*d+!a*c*d+!a*b*!c
 P11212(6): b*c*d+!a*c*d+!a*b*d+!b*!d
 P11213(7): a*!b*!d+b*c*d+!a*b*d+!a*!b*c
 P11214(6): !b*c*!d+!a*!b*!d+b*c*d+!a*c*d+!a*b*d
 P11215(6): !b*c*!d+b*c*d+!a*c*d+!a*b*d
 P11220(8): !b*!c*!d+a*!c*!d+a*!b*!d+b*c*d+!a*c*d+!a*b*d
 P11221(8): a*!c*!d+a*!b*!d+b*c*d+!a*c*d+!a*b*d
 P11222(8): !a*!b*!c*!d+a*b*!c*!d+a*!b*c*!d+b*c*d+!a*c*d+!a*b*d
 P11223(8): a*b*!c*!d+a*!b*c*!d+b*c*d+!a*c*d+!a*b*d
 P11224(8): !a*!c*!d+a*!b*!d+b*c*d+!a*c*d+!a*b*d
 P11225(8): a*!b*!d+b*c*d+!a*c*d+!a*b*!c
 P11226(8): a*!b*c*!d+!a*!c*!d+b*c*d+!a*c*d+!a*b*d
 P11227(8): a*!b*c*!d+b*c*d+!a*c*d+!a*b*!c
 P11228(8): !b*!c*!d+a*!b*!d+b*c*d+!a*c*d+!a*b*d
 P11229(7): a*!b*!d+b*c*d+!a*c*d+!a*b*d
 P11230(8): !a*!b*!c*!d+a*!b*c*!d+b*c*d+!a*c*d+!a*b*d
 P11231(7): a*!b*c*!d+b*c*d+!a*c*d+!a*b*d
 P11240(7): !b*!c*!d+b*c*d+!a*b*!c+!a*!b*c
 P11241(8): a*!b*!c*!d+b*c*d+!a*b*!c+!a*!b*c
 P11242(7): !a*!c*!d+b*c*d+!a*b*d+!a*!b*c
 P11243(6): b*c*d+!a*b*!c+!a*!b*c
 P11244(7): !b*!c*!d+b*c*d+!a*b*d+!a*!b*c
 P11245(8): a*!b*!c*!d+b*c*d+!a*b*d+!a*!b*c
 P11246(6): !a*!b*!d+b*c*d+!a*c*d+!a*b*d
 P11247(5): b*c*d+!a*b*d+!a*!b*c
 P11260(7): !b*!c*!d+b*c*d+!a*c*d+!a*b*d
 P11261(8): a*!b*!c*!d+b*c*d+!a*c*d+!a*b*d
 P11262(7): !a*!b*!c*!d+b*c*d+!a*c*d+!a*b*d
 P11263(4): b*c*d+!a*c*d+!a*b*d
 P11456(7): b*c*d+!c*!d+!b*!d+!b*!c+!a*!b
 P11457(8): b*!c*!d+a*!b*!d+!b*!c*d+b*c*d+!a*!b*c
 P11458(7): b*!c*!d+!b*c*!d+!b*!c*d+b*c*d+!a*!b
 P11459(7): b*!c*!d+!b*c*!d+!b*!c*d+b*c*d+!a*c*d
 P11460(8): a*!c*!d+b*c*d+!b*!d+!b*!c+!a*!b
 P11461(8): a*!c*!d+!b*c*!d+!b*!c*d+b*c*d+!a*c*d
 P11462(8): a*b*!c*!d+!b*c*!d+!b*!c*d+b*c*d+!a*!b
 P11463(8): a*b*!c*!d+!b*c*!d+!b*!c*d+b*c*d+!a*c*d
 P11464(7): !a*!c*!d+b*c*d+!b*!d+!b*!c+!a*!b
 P11465(8): !a*b*!c*!d+a*!b*!d+!b*!c*d+b*c*d+!a*!b*c
 P11466(7): !a*!c*!d+!b*c*!d+!b*!c*d+b*c*d+!a*!b
 P11467(7): !a*b*!c*!d+!b*c*!d+!b*!c*d+b*c*d+!a*c*d
 P11468(7): b*c*d+!b*!d+!b*!c+!a*!b
 P11469(8): a*!b*!d+!b*!c*d+b*c*d+!a*!b*c
 P11470(7): !b*c*!d+!b*!c*d+b*c*d+!a*!b
 P11471(7): !b*c*!d+!b*!c*d+b*c*d+!a*c*d
 P11472(8): a*!b*!d+b*c*d+!a*!b*d+!c*!d+!b*!c
 P11473(8): b*!c*!d+a*!b*!d+!b*!c*d+b*c*d+!a*c*d
 P11474(8): a*!b*c*!d+b*!c*!d+!b*!c*d+b*c*d+!a*c*d+!a*!b*!c
 P11475(8): a*!b*c*!d+b*!c*!d+!b*!c*d+b*c*d+!a*c*d
 P11476(8): a*!c*!d+a*!b*!d+b*c*d+!a*c*d+!b*!c
 P11477(8): a*!c*!d+a*!b*!d+!b*!c*d+b*c*d+!a*c*d
 P11478(8): a*b*!c*!d+a*!b*c*!d+!b*!c*d+b*c*d+!a*c*d+!a*!b*!c
 P11479(8): a*b*!c*!d+a*!b*c*!d+!b*!c*d+b*c*d+!a*c*d
 P11480(8): !a*!c*!d+a*!b*!d+b*c*d+!a*c*d+!b*!c
 P11481(8): !a*b*!c*!d+a*!b*!d+!b*!c*d+b*c*d+!a*c*d
 P11482(8): a*!b*c*!d+!a*!c*!d+!b*!c*d+b*c*d+!a*c*d
 P11483(8): !a*b*!c*!d+a*!b*c*!d+!b*!c*d+b*c*d+!a*c*d
 P11484(8): a*!b*!d+b*c*d+!a*c*d+!b*!c
 P11485(8): a*!b*!d+!b*!c*d+b*c*d+!a*c*d
 P11486(8): a*!b*c*!d+!b*!c*d+b*c*d+!a*c*d+!a*!b*!c
